ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Genre Principal;Genres Secondaires;Image-URL-L;Moyenne_Adolescent 12-17;Moyenne_Adulte 26-35;Moyenne_Adulte 36-50;Moyenne_Enfant 1-12;Moyenne_Jeune adulte 18-25;Moyenne_Senior 50+
000617695X;The Great & Secret Show;Barker Clive;1990-01-01;HarperCollins Publishers;Horror;Fantasy, Fiction, Fantasy, Dark Fantasy, Thriller, Science Fiction, Novels, Fantasy, Urban Fantasy, Suspense, Fantasy, Supernatural;http://images.amazon.com/images/P/000617695X.01.LZZZZZZZ.jpg;;6.0;;;;
0007144350;Collins Complete Works of Oscar Wilde (Collins Classics S.);Oscar Wilde;2003-01-01;HarperCollins Publishers;Classics;Fiction, Poetry, Plays, Short Stories, Literature, Drama, Humor, Writing, Essays, Literature, 19th Century;http://images.amazon.com/images/P/0007144350.01.LZZZZZZZ.jpg;;;10.0;;;
0020199856;LOVE OF THE LAST TYCOON;F. Scott Fitzgerald;1995-01-01;Scribner;Classics;Fiction, Literature, Literature, American, Novels, Literature, 20th Century, Historical, Historical Fiction, Literary Fiction, Romance, Classics, Modern Classics;http://images.amazon.com/images/P/0020199856.01.LZZZZZZZ.jpg;;8.0;;;;
0020360754;Heart Songs and Other Stories;Annie Proulx;1995-01-01;Scribner;Short Stories;Fiction, Literary Fiction, Literature, American, Literature, The United States Of America, Contemporary, Literature, 20th Century, Cultural, Canada, Womens;http://images.amazon.com/images/P/0020360754.01.LZZZZZZZ.jpg;;8.5;5.0;;;
0020421907;Seaward;Susan Cooper;1987-01-01;Simon Pulse;Fantasy;Young Adult, Fiction, Childrens, Adventure, Childrens, Middle Grade, Young Adult, Young Adult Fantasy, Science Fiction Fantasy, Romance, Fantasy, Magic;http://images.amazon.com/images/P/0020421907.01.LZZZZZZZ.jpg;;8.0;;;9.5;
0020442602;Voyage of the Dawn Treader;C. S. Lewis;1970-01-01;MacMillan Publishing Company.;Fantasy;Fiction, Classics, Young Adult, Childrens, Adventure, Christian, Childrens, Middle Grade, Christian Fiction, Science Fiction Fantasy;http://images.amazon.com/images/P/0020442602.01.LZZZZZZZ.jpg;;8.0;9.0;;9.0;
0020518609;Short Stories of Ernest Hemingway (A Scribner classic);Ernest Hemingway;1987-01-01;Simon & Schuster;Fiction;Short Stories, Classics, Literature, Literature, American, The United States Of America, Literary Fiction, Literature, 20th Century, American, Americana, Novels;http://images.amazon.com/images/P/0020518609.01.LZZZZZZZ.jpg;;8.666666666666666;7.5;;;7.0
0023895306;Nicomachean Ethics : Aristotle;Martin Ostwald;1962-01-01;Prentice Hall;Philosophy;Classics, Nonfiction, Politics, Academic, School, Literature, Ancient, History, Cultural, Greece, Academic, College, History, Ancient History;http://images.amazon.com/images/P/0023895306.01.LZZZZZZZ.jpg;;5.0;;;;
0024181900;The Elements of Style, Third Edition;William Strunk Jr.;1979-01-01;Pearson P T R;Language;Writing, Nonfiction, Reference, Humanities, Language, Classics, Education, Self Help, Business, Academic, School, Textbooks;http://images.amazon.com/images/P/0024181900.01.LZZZZZZZ.jpg;;;10.0;;;
0060001445;Her Highness, My Wife;Victoria Alexander;2002-01-01;Avon;Romance;Historical Romance, Romance, Historical, Historical, Regency, Historical, Historical Fiction, Fiction, Historical Romance, Regency Romance, Adult, European Literature, British Literature, Romance, M F Romance;http://images.amazon.com/images/P/0060001445.01.LZZZZZZZ.jpg;;6.0;;;;8.0
0060001453;Love With the Proper Husband (Avon Historical Romance);Victoria Alexander;2003-01-01;Avon;Romance;Historical Romance, Romance, Historical, Historical, Regency, Historical, Historical Fiction, Fiction, Historical Romance, Regency Romance, European Literature, British Literature, Adult, Womens Fiction, Chick Lit;http://images.amazon.com/images/P/0060001453.01.LZZZZZZZ.jpg;;6.666666666666667;6.666666666666667;;10.0;9.0
006000181X;With Her Last Breath;Cait London;2003-01-01;Avon;Romance;Romantic Suspense, Romance, Suspense;http://images.amazon.com/images/P/006000181X.01.LZZZZZZZ.jpg;;5.0;;;;8.0
0060002050;On a Wicked Dawn (Cynster Novels);Stephanie Laurens;2002-01-01;Avon Books;Romance;Romance, Historical Romance, Historical, Historical, Regency, Historical, Historical Fiction, Historical Romance, Regency Romance, Fiction, Adult, European Literature, British Literature, Audiobook;http://images.amazon.com/images/P/0060002050.01.LZZZZZZZ.jpg;;7.0;8.0;;6.5;8.0
0060002069;The Lady Chosen;Stephanie Laurens;2003-01-01;Avon Books;Romance;Historical Romance, Romance, Historical, Historical, Regency, Historical, Historical Fiction, Historical Romance, Regency Romance, Fiction, Mystery, Audiobook, Adult;http://images.amazon.com/images/P/0060002069.01.LZZZZZZZ.jpg;;7.5;6.5;;;7.0
006000942X;How to Read Literature Like a Professor : A Lively and Entertaining Guide to Reading Between the Lines;Thomas C. Foster;2003-01-01;Perennial Currents;Nonfiction;Academic, School, Writing, Books About Books, Language, Writing, Education, Literature, Academic, Read For School, Reference, Criticism, Literary Criticism, Young Adult, High School;http://images.amazon.com/images/P/006000942X.01.LZZZZZZZ.jpg;;7.0;9.0;;;6.0
0060011572;Animal Liberation;Peter Singer;2001-01-01;Ecco;Philosophy;Nonfiction, Animals, Food and Drink, Vegan, Politics, Food and Drink, Food, Science, Environment, Social Issues, Activism, Environment, Nature;http://images.amazon.com/images/P/0060011572.01.LZZZZZZZ.jpg;;9.0;;;;
0060013133;Going Postal : A Novel of Discworld (Pratchett, Terry);Terry Pratchett;2004-01-01;HarperCollins;Fantasy;Fiction, Humor, Humor, Comedy, Science Fiction Fantasy, Audiobook, Science Fiction, Adult, Novels, Young Adult;http://images.amazon.com/images/P/0060013133.01.LZZZZZZZ.jpg;;;;;;10.0
0060084537;Sharpe's Prey : Richard Sharpe and the Expedition to Denmark, 1807;Bernard Cornwell;2003-01-01;Perennial;Historical;Historical Fiction, Fiction, Historical, War, Adventure, War, Military Fiction, Audiobook, Action, Novels, European Literature, British Literature;http://images.amazon.com/images/P/0060084537.01.LZZZZZZZ.jpg;;;;;7.0;
0060085444;She Went All the Way (Avon Light Contemporary Romances);Meggin Cabot;2002-01-01;Avon;Womens Fiction;Chick Lit, Romance, Contemporary, Fiction, Romance, Contemporary Romance, Adult, Humor, Young Adult, Adult Fiction, Mystery;http://images.amazon.com/images/P/0060085444.01.LZZZZZZZ.jpg;;6.333333333333333;6.933333333333334;;9.0;8.5
0060085495;Island (Perennial Classics);Aldous Huxley;2002-01-01;Perennial;Fiction;Classics, Science Fiction, Philosophy, Science Fiction, Dystopia, Literature, Novels, Science Fiction, Utopia, Fantasy, European Literature, British Literature;http://images.amazon.com/images/P/0060085495.01.LZZZZZZZ.jpg;;9.0;9.0;;;8.0
0060086246;Last Chance Saloon;Marian Keyes;2003-01-01;Perennial;Womens Fiction;Chick Lit, Fiction, Romance, Contemporary, Humor, Cultural, Ireland, Romance, Contemporary Romance, Womens Fiction, European Literature, Irish Literature, Adult;http://images.amazon.com/images/P/0060086246.01.LZZZZZZZ.jpg;;8.071428571428571;9.0;;9.0;
0060086637;Barracuda 945;Patrick Robinson;2004-01-01;HarperTorch;Fiction;Thriller, War, Military Fiction, Action, Audiobook, Thriller, Mystery Thriller;http://images.amazon.com/images/P/0060086637.01.LZZZZZZZ.jpg;;;3.0;;;
0060090375;Lucy Sullivan Is Getting Married;Marian Keyes;2002-01-01;Perennial;Womens Fiction;Chick Lit, Fiction, Romance, Contemporary, Humor, Romance, Contemporary Romance, Cultural, Ireland, Adult, European Literature, Irish Literature, Womens Fiction;http://images.amazon.com/images/P/0060090375.01.LZZZZZZZ.jpg;;8.333333333333334;9.0;;5.0;
0060090383;Rachel's Holiday;Marian Keyes;2002-01-01;Perennial;Womens Fiction;Chick Lit, Fiction, Romance, Contemporary, Cultural, Ireland, Audiobook, European Literature, Irish Literature, Humor, Romance, Contemporary Romance, Adult;http://images.amazon.com/images/P/0060090383.01.LZZZZZZZ.jpg;;8.0;8.75;;9.0;
0060092572;The Terminal Man;Michael Crichton;2002-01-01;Avon Books;Fiction;Science Fiction, Thriller, Suspense, Horror, Mystery, Novels, Science Fiction Fantasy, Medical, Thriller, Mystery Thriller;http://images.amazon.com/images/P/0060092572.01.LZZZZZZZ.jpg;;7.0;7.0;;;
0060093749;The Art of the Novel (Perennial Classics);Milan Kundera;2003-01-01;Perennial Classics;Nonfiction;Language, Writing, Writing, Essays, Criticism, Literary Criticism, Literature, Criticism, European Literature, Czech Literature, Writing, Books About Books, Philosophy, Cultural, France;http://images.amazon.com/images/P/0060093749.01.LZZZZZZZ.jpg;;;;;7.0;
006009527X;Fire Lover: A True Story;Joseph Wambaugh;2002-01-01;William Morrow;Crime;True Crime, Nonfiction, Mystery, Crime, Mystery, History, Thriller, Biography, Emergency Services, Firefighters, Suspense, Audiobook;http://images.amazon.com/images/P/006009527X.01.LZZZZZZZ.jpg;;9.0;10.0;;;9.0
0060099453;Merry Christmas, Amelia Bedelia (I Can Read Book 2);Peggy Parish;2002-01-01;HarperTrophy;Holiday;Christmas, Childrens, Fiction, Childrens, Picture Books, Holiday, Humor, Kids, Classics, Young Adult, Childrens, Chapter Books;http://images.amazon.com/images/P/0060099453.01.LZZZZZZZ.jpg;;8.5;;;8.0;
0060166495;Back to Barbary Lane: The Final Tales of the City Omnibus;Armistead Maupin;1991-01-01;HarperCollins;Fiction;LGBT, LGBT, Gay, LGBT, Queer, Gay, Gay Fiction, Classics, Humor, Literature, American;http://images.amazon.com/images/P/0060166495.01.LZZZZZZZ.jpg;;;10.0;;;
